query_id,market_id,problem_id,intent,query,seed_status
ja-jp-001-e,ja-jp,pd-001,experience,人といても孤独,unvalidated
ja-jp-001-x,ja-jp,pd-001,explanation,友達がいるのに孤独を感じるのはなぜ,unvalidated
ja-jp-001-s,ja-jp,pd-001,solution,孤独感をなくす方法,unvalidated
ja-jp-002-e,ja-jp,pd-002,experience,人と会うと疲れる,unvalidated
ja-jp-002-x,ja-jp,pd-002,explanation,人と話すと疲れるのはなぜ,unvalidated
ja-jp-002-s,ja-jp,pd-002,solution,人付き合いで疲れない方法,unvalidated
ja-jp-003-e,ja-jp,pd-003,experience,大人になって友達が減った,unvalidated
ja-jp-003-x,ja-jp,pd-003,explanation,大人になると友達ができないのはなぜ,unvalidated
ja-jp-003-s,ja-jp,pd-003,solution,大人の友達の作り方,unvalidated
ja-jp-004-e,ja-jp,pd-004,experience,やる気が出ない,unvalidated
ja-jp-004-x,ja-jp,pd-004,explanation,やるべきことがあるのに動けないのはなぜ,unvalidated
ja-jp-004-s,ja-jp,pd-004,solution,やる気を出す方法,unvalidated
ja-jp-005-e,ja-jp,pd-005,experience,スマホを見るのをやめられない,unvalidated
ja-jp-005-x,ja-jp,pd-005,explanation,SNSをずっと見てしまうのはなぜ,unvalidated
ja-jp-005-s,ja-jp,pd-005,solution,スマホを見すぎない方法,unvalidated
ja-jp-006-e,ja-jp,pd-006,experience,SNSで人と比べて落ち込む,unvalidated
ja-jp-006-x,ja-jp,pd-006,explanation,他人と比べてしまうのはなぜ,unvalidated
ja-jp-006-s,ja-jp,pd-006,solution,人と比べない方法,unvalidated
ja-jp-007-e,ja-jp,pd-007,experience,AIに恋愛感情,unvalidated
ja-jp-007-x,ja-jp,pd-007,explanation,AIを好きになるのはおかしい,unvalidated
ja-jp-007-s,ja-jp,pd-007,solution,AIとの恋愛をやめたい,unvalidated
ja-jp-008-e,ja-jp,pd-008,experience,推しの熱愛がつらい,unvalidated
ja-jp-008-x,ja-jp,pd-008,explanation,推しの結婚がショックなのはなぜ,unvalidated
ja-jp-008-s,ja-jp,pd-008,solution,推しの熱愛から立ち直る方法,unvalidated
ja-jp-009-e,ja-jp,pd-009,experience,何も感じない,unvalidated
ja-jp-009-x,ja-jp,pd-009,explanation,感情がわからないのはなぜ,unvalidated
ja-jp-009-s,ja-jp,pd-009,solution,感情を取り戻す方法,unvalidated
ja-jp-010-e,ja-jp,pd-010,experience,自分が何者かわからない,unvalidated
ja-jp-010-x,ja-jp,pd-010,explanation,自分らしさがわからないのはなぜ,unvalidated
ja-jp-010-s,ja-jp,pd-010,solution,自分らしさを見つける方法,unvalidated
en-us-001-e,en-us,pd-001,experience,feeling lonely around people,unvalidated
en-us-001-x,en-us,pd-001,explanation,why do I feel lonely even with friends,unvalidated
en-us-001-s,en-us,pd-001,solution,how to feel less lonely,unvalidated
en-us-002-e,en-us,pd-002,experience,socializing makes me tired,unvalidated
en-us-002-x,en-us,pd-002,explanation,why do I feel drained after talking to people,unvalidated
en-us-002-s,en-us,pd-002,solution,how to stop feeling socially drained,unvalidated
